Company Name,Sector,Ticker,Active Share,Bench Weight,Portfolio Weight,Core Model,Sector-and-Subsector
Alphabet Inc. Class A,Communication Services,GOOGL,1.669732329,3.616166864,3.6845246,4,Consumer Cyclicals-Media and Entertainment
"Netflix, Inc.",Communication Services,NFLX,0.226157264,0.846282947,1.298597475,3,Consumer Cyclicals-Media and Entertainment
AT&T Inc.,Communication Services,T,0.200114332,0.400228663,0,1,Telecommunication Services-Telecommunication Services
Verizon Communications Inc.,Communication Services,VZ,0.191730701,0.383461402,0,1,Telecommunication Services-Telecommunication Services
Walt Disney Company,Communication Services,DIS,0.186390577,0.372781154,0,3,Consumer Cyclicals-Media and Entertainment
Comcast Corporation Class A,Communication Services,CMCSA,0.145046536,0.290093072,0,1,Consumer Cyclicals-Media and Entertainment
"T-Mobile US, Inc.",Communication Services,TMUS,0.130428373,0.260856746,0,1,Telecommunication Services-Telecommunication Services
Meta Platforms Inc Class A,Communication Services,META,0.100880263,2.659892221,2.458131695,2,Consumer Cyclicals-Media and Entertainment
"Charter Communications, Inc. Class A",Communication Services,CHTR,0.036502883,0.073005766,0,2,Consumer Cyclicals-Media and Entertainment
"Take-Two Interactive Software, Inc.",Communication Services,TTWO,0.035655089,0.071310178,0,5,Consumer Cyclicals-Media and Entertainment
Electronic Arts Inc.,Communication Services,EA,0.035584732,0.071169465,0,2,Consumer Cyclicals-Media and Entertainment
"Warner Bros. Discovery, Inc. Series A",Communication Services,WBD,0.024741228,0.049482456,0,1,Consumer Cyclicals-Media and Entertainment
"Live Nation Entertainment, Inc.",Communication Services,LYV,0.019934178,0.039868355,0,2,Consumer Cyclicals-Media and Entertainment
Omnicom Group Inc,Communication Services,OMC,0.016392588,0.032785176,0,2,Consumer Cyclicals-Media and Entertainment
Fox Corporation Class A,Communication Services,FOXA,0.012260201,0.024520403,0,1,Consumer Cyclicals-Media and Entertainment
News Corporation Class A,Communication Services,NWSA,0.010845274,0.021690548,0,3,Consumer Cyclicals-Media and Entertainment
"Interpublic Group of Companies, Inc.",Communication Services,IPG,0.010262067,0.020524135,0,1,Consumer Cyclicals-Media and Entertainment
"Match Group, Inc.",Communication Services,MTCH,0.008159408,0.016318815,0,1,Consumer Cyclicals-Media and Entertainment
Paramount Global Class B,Communication Services,PARA,0.007392105,0.01478421,0,3,Consumer Cyclicals-Media and Entertainment
Fox Corporation Class B,Communication Services,FOX,0.006776995,0.013553989,0,1,Consumer Cyclicals-Media and Entertainment
News Corporation Class B,Communication Services,NWS,0.003492472,0.006984944,0,3,Consumer Cyclicals-Media and Entertainment
"Lowe's Companies, Inc.",Consumer Discretionary,LOW,1.113452571,0.267260551,2.494165693,2,Consumer Cyclicals-Retail and Other Consumer Cyclicals
"Tesla, Inc.",Consumer Discretionary,TSLA,0.68691618,1.37383236,0,4,Consumer Cyclicals-Consumer Durables
"Amazon.com, Inc.",Consumer Discretionary,AMZN,0.663177766,3.798681137,2.472325606,4,Consumer Cyclicals-Retail and Other Consumer Cyclicals
